,disp_prop,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
182,0.5,0.01469985,0.00202435,0.0126755,7.261514967,0.591335805,0.44591767,0.09729102,54.946,83.044,114.74
183,0.5,0.014853162,0.002141564,0.012711598,6.935661169,0.561177304,0.470306361,0.098518272,53.994,81.766,116.68
184,0.5,0.015530532,0.002207692,0.01332284,7.034736811,0.601357711,0.46027372,0.101992947,55.189,82.603,117.16
185,0.5,0.016479556,0.00269083,0.013788726,6.12433887,0.622628651,0.48072312,0.098646984,55.066,82.554,116.588
186,0.5,0.016185998,0.002497074,0.013688924,6.481985421,0.613044612,0.479218979,0.098385676,54.584,82.373,117.736
187,0.5,0.015406448,0.002017445,0.013389002,7.636612098,0.597978739,0.467008634,0.096466825,53.937,81.307,116.356
188,0.5,0.014894528,0.002037977,0.01285655,7.308485314,0.600699497,0.446151107,0.096989243,55.034,82.451,115.332
189,0.5,0.015631553,0.001873313,0.01375824,8.344336472,0.623706376,0.466754841,0.089636861,54.636,82.007,117.5
190,0.5,0.014888776,0.002480564,0.012408212,6.00217307,0.598034707,0.449579813,0.096421616,54.606,82.425,116.64
191,0.5,0.015626008,0.002349061,0.013276947,6.652022619,0.601305055,0.472148044,0.095534482,54.878,81.862,116.516
192,0.5,0.015488394,0.00224956,0.013238834,6.885077464,0.609030517,0.464543443,0.09428839,54.41,81.106,116.04
193,0.5,0.016644516,0.002348742,0.014295774,7.086565972,0.619115502,0.483170251,0.102324169,54.864,82.044,116.64
194,0.5,0.015175303,0.001856673,0.01331863,8.173384161,0.58862861,0.468791557,0.093328892,55.06,82.505,116.476
195,0.5,0.015707129,0.002587714,0.013119415,6.069885537,0.647018597,0.453224613,0.089687451,54.69,81.931,116.532
196,0.5,0.015973462,0.002478911,0.013494551,6.443741996,0.637883349,0.459726524,0.095239007,54.549,82.071,115.552
197,0.5,0.014957675,0.002014293,0.012943382,7.425770312,0.591010001,0.464752688,0.090369587,54.616,82.585,115.8
198,0.5,0.015385092,0.002433015,0.012952077,6.323468527,0.579736345,0.473691453,0.099036441,54.642,82.223,115.492
199,0.5,0.015917226,0.002348725,0.013568501,6.776964182,0.615460356,0.461721496,0.102399058,55.402,82.298,116.536
200,0.55,0.014860278,0.001864473,0.012995805,7.970229129,0.592837041,0.467962712,0.087391063,51.507,79.543,116.288
201,0.55,0.016104964,0.002396001,0.013708963,6.721601722,0.622654457,0.469295713,0.100884986,50.814,78.962,114.148
202,0.55,0.015293202,0.002356364,0.012936838,6.490168713,0.603967339,0.467824054,0.091767308,52.126,80.303,115.932
203,0.55,0.016058738,0.00223288,0.013825858,7.191939944,0.619511183,0.461541982,0.106663657,51.252,80.034,114.508
204,0.55,0.016629159,0.002310205,0.014318954,7.198131942,0.626676856,0.480844389,0.101491391,52.266,80.351,114.72
205,0.55,0.017031646,0.002308555,0.01472309,7.377620314,0.633723381,0.489104534,0.10194804,51.607,79.747,115.996
206,0.55,0.016794662,0.002619461,0.014175201,6.411494544,0.620390614,0.493210436,0.100064313,51.357,79.481,115.204
207,0.55,0.015512146,0.002431266,0.01308088,6.380274514,0.591635505,0.472992748,0.098766871,51.432,79.905,114.464
208,0.55,0.015554344,0.002316745,0.013237599,6.71387745,0.617944092,0.461146202,0.095795859,52.267,80.007,115.452
209,0.55,0.015519899,0.002148964,0.013370934,7.222036716,0.593292136,0.475743404,0.096533489,51.578,78.904,115
210,0.55,0.015051902,0.00194059,0.013111312,7.756354585,0.576283938,0.480655684,0.090106434,51.82,80.044,115.484
211,0.55,0.016153556,0.002366117,0.013787439,6.827031441,0.599783434,0.489590265,0.098095297,51.508,79.405,115.16
212,0.55,0.015334382,0.0018011,0.013533282,8.513900202,0.614222004,0.463943439,0.09166787,51.169,79.915,115.436
213,0.55,0.014540703,0.002053864,0.01248684,7.07968336,0.577750519,0.459829071,0.092446359,51.413,80.89,115.88
214,0.55,0.015699468,0.00223904,0.013460429,7.011697428,0.603805405,0.467583421,0.101521841,51.079,79.561,114.808
215,0.55,0.0172403,0.002842627,0.014397673,6.064917288,0.634470612,0.502718501,0.096968376,51.313,79.929,116.048
216,0.55,0.015415305,0.002180195,0.013235109,7.070606671,0.59449912,0.470710098,0.096962474,51.541,80.024,114.892
217,0.55,0.016133227,0.002531901,0.013601326,6.371982737,0.622969421,0.467760876,0.101669937,51.362,79.054,114.172
218,0.55,0.015515825,0.002457634,0.01305819,6.313317469,0.60071765,0.468097971,0.098253616,51.365,79.094,115.976
219,0.55,0.016331288,0.002163175,0.014168114,7.54968511,0.64058065,0.470337712,0.09718747,51.277,79.809,115.728
220,0.6,0.016127084,0.002291579,0.013835505,7.037541148,0.625224354,0.467445133,0.103335723,48.925,77.69,115.04
221,0.6,0.01722164,0.00283256,0.01438908,6.079885278,0.655888361,0.493861812,0.094748693,48.267,76.326,113.38
222,0.6,0.016021682,0.002990825,0.013030858,5.35694481,0.62266794,0.469888177,0.100629842,48.209,77.058,113.92
223,0.6,0.016006474,0.001937053,0.014069421,8.263311311,0.639551077,0.467245731,0.094501861,48.76,77.806,113.424
224,0.6,0.01681715,0.003203139,0.013614011,5.250209525,0.612742305,0.494863344,0.10446158,48.407,77.339,113.524
225,0.6,0.015934378,0.002034889,0.013899489,7.830589917,0.617012828,0.479029378,0.094071806,49.296,77.351,114.336
226,0.6,0.015601996,0.002290633,0.013311363,6.811214978,0.591779134,0.477102464,0.099681298,48.59,77.729,114.388
227,0.6,0.015839331,0.002662681,0.01317665,5.948640812,0.614148437,0.480896153,0.092720603,48.268,77.243,113.692
